seed,load_condition,submission_time_scale,cluster_shape,node_count,cpus_per_node,total_cpus,policy,jobs_completed,average_wait,median_wait,p95_wait,average_turnaround,throughput,cpu_utilization_percent
6,light,4,4x8,4,8,32,sjf,200,0.020000,0.000000,0,10.660000,0.174672,20.919760
6,light,4,4x8,4,8,32,backfill,200,0.020000,0.000000,0,10.660000,0.174672,20.919760
6,moderate,2,1x32,1,32,32,fcfs,200,0.175000,0.000000,1,10.815000,0.344234,41.227410
6,moderate,2,1x32,1,32,32,sjf,200,0.165000,0.000000,0,10.805000,0.344234,41.227410
6,moderate,2,1x32,1,32,32,backfill,200,0.130000,0.000000,0,10.770000,0.344234,41.227410
6,moderate,2,2x16,2,16,32,fcfs,200,0.185000,0.000000,1,10.825000,0.344234,41.227410
6,moderate,2,2x16,2,16,32,sjf,200,0.205000,0.000000,1,10.845000,0.344234,41.227410
6,moderate,2,2x16,2,16,32,backfill,200,0.140000,0.000000,0,10.780000,0.344234,41.227410
6,moderate,2,4x8,4,8,32,fcfs,200,0.225000,0.000000,2,10.865000,0.344234,41.227410
6,moderate,2,4x8,4,8,32,sjf,200,0.245000,0.000000,1,10.885000,0.344234,41.227410
6,moderate,2,4x8,4,8,32,backfill,200,0.175000,0.000000,0,10.815000,0.344234,41.227410
6,heavy,1,1x32,1,32,32,fcfs,200,3.660000,2.000000,15,14.300000,0.664452,79.578488
6,heavy,1,1x32,1,32,32,sjf,200,1.990000,0.000000,7,12.630000,0.664452,79.578488
6,heavy,1,1x32,1,32,32,backfill,200,1.685000,0.000000,10,12.325000,0.664452,79.578488
6,heavy,1,2x16,2,16,32,fcfs,200,4.475000,2.500000,17,15.115000,0.664452,79.578488
6,heavy,1,2x16,2,16,32,sjf,200,2.305000,0.000000,8,12.945000,0.664452,79.578488
6,heavy,1,2x16,2,16,32,backfill,200,1.740000,0.000000,10,12.380000,0.664452,79.578488
6,heavy,1,4x8,4,8,32,fcfs,200,7.460000,6.000000,20,18.100000,0.662252,79.314983
6,heavy,1,4x8,4,8,32,sjf,200,3.425000,1.000000,15,14.065000,0.664452,79.578488
6,heavy,1,4x8,4,8,32,backfill,200,1.925000,0.000000,12,12.565000,0.664452,79.578488
7,light,4,1x32,1,32,32,fcfs,200,0.095000,0.000000,0,10.535000,0.183318,22.018217
7,light,4,1x32,1,32,32,sjf,200,0.095000,0.000000,0,10.535000,0.183318,22.018217
7,light,4,1x32,1,32,32,backfill,200,0.095000,0.000000,0,10.535000,0.183318,22.018217
7,light,4,2x16,2,16,32,fcfs,200,0.095000,0.000000,0,10.535000,0.183318,22.018217
7,light,4,2x16,2,16,32,sjf,200,0.095000,0.000000,0,10.535000,0.183318,22.018217
7,light,4,2x16,2,16,32,backfill,200,0.095000,0.000000,0,10.535000,0.183318,22.018217
7,light,4,4x8,4,8,32,fcfs,200,0.095000,0.000000,0,10.535000,0.183318,22.018217
7,light,4,4x8,4,8,32,sjf,200,0.095000,0.000000,0,10.535000,0.183318,22.018217
7,light,4,4x8,4,8,32,backfill,200,0.095000,0.000000,0,10.535000,0.183318,22.018217
7,moderate,2,1x32,1,32,32,fcfs,200,0.465000,0.000000,4,10.905000,0.361664,43.439195
7,moderate,2,1x32,1,32,32,sjf,200,0.500000,0.000000,4,10.940000,0.361664,43.439195
7,moderate,2,1x32,1,32,32,backfill,200,0.365000,0.000000,3,10.805000,0.361664,43.439195
7,moderate,2,2x16,2,16,32,fcfs,200,0.505000,0.000000,4,10.945000,0.361664,43.439195
7,moderate,2,2x16,2,16,32,sjf,200,0.540000,0.000000,5,10.980000,0.361664,43.439195
7,moderate,2,2x16,2,16,32,backfill,200,0.385000,0.000000,3,10.825000,0.361664,43.439195
7,moderate,2,4x8,4,8,32,fcfs,200,0.635000,0.000000,5,11.075000,0.361664,43.439195
7,moderate,2,4x8,4,8,32,sjf,200,0.555000,0.000000,5,10.995000,0.361664,43.439195
7,moderate,2,4x8,4,8,32,backfill,200,0.390000,0.000000,2,10.830000,0.361664,43.439195
7,heavy,1,1x32,1,32,32,fcfs,200,8.665000,6.000000,23,19.105000,0.680272,81.707058
7,heavy,1,1x32,1,32,32,sjf,200,5.695000,2.000000,22,16.135000,0.677966,81.430085
7,heavy,1,1x32,1,32,32,backfill,200,4.645000,0.000000,22,15.085000,0.689655,82.834052
7,heavy,1,2x16,2,16,32,fcfs,200,15.045000,14.000000,32,25.485000,0.660066,79.280116
7,heavy,1,2x16,2,16,32,sjf,200,9.635000,2.000000,52,20.075000,0.647249,77.740696
7,heavy,1,2x16,2,16,32,backfill,200,5.990000,1.000000,27,16.430000,0.677966,81.430085
7,heavy,1,4x8,4,8,32,fcfs,200,23.560000,25.000000,42,34.000000,0.638978,76.747204
7,heavy,1,4x8,4,8,32,sjf,200,10.185000,3.000000,46,20.625000,0.662252,79.542632
7,heavy,1,4x8,4,8,32,backfill,200,6.195000,1.000000,28,16.635000,0.677966,81.430085
8,light,4,1x32,1,32,32,fcfs,200,0.000000,0.000000,0,10.670000,0.162075,20.031402
8,light,4,1x32,1,32,32,sjf,200,0.000000,0.000000,0,10.670000,0.162075,20.031402
8,light,4,1x32,1,32,32,backfill,200,0.000000,0.000000,0,10.670000,0.162075,20.031402
8,light,4,2x16,2,16,32,fcfs,200,0.000000,0.000000,0,10.670000,0.162075,20.031402
8,light,4,2x16,2,16,32,sjf,200,0.000000,0.000000,0,10.670000,0.162075,20.031402
8,light,4,2x16,2,16,32,backfill,200,0.000000,0.000000,0,10.670000,0.162075,20.031402
8,light,4,4x8,4,8,32,fcfs,200,0.000000,0.000000,0,10.670000,0.162075,20.031402
8,light,4,4x8,4,8,32,sjf,200,0.000000,0.000000,0,10.670000,0.162075,20.031402
8,light,4,4x8,4,8,32,backfill,200,0.000000,0.000000,0,10.670000,0.162075,20.031402
8,moderate,2,1x32,1,32,32,fcfs,200,0.120000,0.000000,0,10.790000,0.319489,39.486821
8,moderate,2,1x32,1,32,32,sjf,200,0.095000,0.000000,0,10.765000,0.319489,39.486821
